vehicle_manoeuvre,"01.Reversing
02.Parked
03.Waiting to go ahead but held up
04.Slowing or stopping
05.Moving off
06.U turn
07.Turning left
08.Waiting to turn left
09.Turning right
10.Waiting to turn right
11.Changing lane to left
12.Changing lane to right
13.Overtaking moving vehicle on its offside
14.Overtaking stationary vehicle on its offside
15.Overtaking on nearside
16.Going ahead left hand bend
17.Going ahead right hand bend
18.Going ahead other"
vehicle_direction_from/ vehicle_direction_to,"1.North
2.North east
3.East
4.South east
5.South
6.South west
7.West
8.North west
00. Parked"
vehicle_location_restricted_lane,"00. On main carriageway - not in restricted lane
01. Tram/Light rail track
02. Bus lane
03. Busway (including guided busway)
04. Cycle lane (on main carriageway)
05. Cycleway or shared use footway (not part of main carriageway)
06. On lay-by or hard shoulder
07. Entering lay-by or hard shoulder
08. Leaving lay-by or hard shoulder
09.footway (pavement)"
junction_location,"0. Not at, or within 20 metres of, junction
1. Approaching junction or waiting/parked at junction approach
2.Cleared junction or waiting/parked at junction exit
3.Leaving roundabout
4.Entering roundabout
5.Leaving main road
6.Entering main road
7.Entering from slip road
8.Mid junction - on roundabout or on main road"
skidding_and_overturning,"0.No skidding, jack-knifing or overturning
1.Skidded
2.Skidded and overturned
3.Jack-knifed
4.Jack-knifed and overturned
5.Overturned"
hit_object_in_carriageway,"00None
01.Previous accident
02.Roadworks
04.Parked vehicle
05.Bridge - roof
06.Bridge - side
07.Bollard/Refuge
08.Open door of vehicle
09.Central island of roundabout
10.Kerb
11.Other object
12.Any animal (except ridden horse)"
vehicle_leaving_carriageway,"0.Did not leave carriageway
1.Left carriageway nearside
2.Left carriageway nearside and rebounded
3.Left carriageway straight ahead at junction
4.Left carriageway offside onto central reservation
5.Left carriageway offside onto central reservation and rebounded
6.Left carriageway offside and crossed central reservation
7.Left carriageway offside
8.Left carriageway offside and rebounded"
hit_object_off_carriageway,"00.None
01.Road sign/Traffic signal
02.Lamp post
03.Telegraph pole/Electricity pole
04.Tree
05.Bus stop/Bus shelter
06.Central crash barrier
07.Nearside or offside crash barrier
08.Submerged in water (completely)
09.Entered ditch
11. Wall or fence
10. Other permanent object"
first_point_of_impact,"0.Did not impact
1.Front
2.Back
3.Offside
4.Nearside"
vehicle_left_hand_drive,"1- Right
9- left
-1- None, 2wheel or 3 wheel"
journey_purpose_of_driver,
sex_of_driver,"1.Male
2.Female
3.Not known"
age_of_driver,number
engine_capacity_cc,number
propulsion_code,NA
age_of_vehicle,NA
generic_make_model,NA
driver_imd_decile,NA
driver_home_area_type,NA
,
CASUALTY DETAILS,
,
accident_index,
accident_year,
accident_reference,
vehicle_reference,Identity of vehicle n an accident
casualty_reference,Identity of casualty an accident
casualty_class,"1.driver or rider
2. Vehicle or pillion passenger
3. Pedestrian"
sex_of_casualty,"1.Male
2.Female"
age_of_casualty,Number
age_band_of_casualty,NA
casualty_severity,"1.Fatal
2.Serious
3.Slight"
pedestrian_location,"01.In carriageway, crossing on pedestrian crossing facility
02.In carriageway, crossing within zig-zag lines at crossing approach
03.In carriageway, crossing within zig-zag lines at crossing exit
04.In carriageway, crossing elsewhere within 50 metres of pedestrian crossing
05.In carriageway, crossing elsewhere
06.On footway or verge
07.On refuge, central island or central reservation
08.In centre of carriageway, not on refuge, central island or central reservation
09.In carriageway, not crossing
10.Unknown or other"
pedestrian_movement,"1.Crossing from driver's nearside
2.Crossing from driver's nearside - masked by parked or stationary vehicle
3.Crossing from driver's offside
4.Crossing from driver's offside - masked by parked or stationary vehicle
5.In carriageway, stationary - not crossing (standing or playing)
6.In carriageway, stationary - not crossing (standing or playing), masked by parked or stationary vehicle
7.Walking along in carriageway - facing traffic
8.Walking along in carriageway - back to traffic
9.Unknown or other"
car_passenger,"0.Not a car passenger
1.Front seat passenger
2.Rear seat passenger"
bus_or_coach_passenger,"0.Not a bus or coach passenger
1.Boarding
2.Alighting
3.Standing passenger
4.Seated passenger"
pedestrian_road_maintenance_worker,NA
casualty_type,NA
casualty_home_area_type,"1.Unknown
2.Non-UK resident"
casualty_imd_decile,NA
